,Period,Type1_ATT,Type2_ATT,Type3_ATT
1,01/08/2010,1138652,54371,559358
2,01/09/2010,1150728,55181,550359
3,01/10/2010,1163143,54961,583244
4,01/11/2010,1111295,53727,486005
5,01/12/2010,1159204,45536,533001
6,01/01/2011,1133881,51585,542331
7,01/02/2011,1053707,51249,494408
8,01/03/2011,1225222,57900,580319
9,01/04/2011,1197213,54042,593120
10,01/05/2011,1221687,57067,594941
11,01/06/2011,1168468,54739,562210
12,01/07/2011,1211066,56204,597690
13,01/08/2011,1135801,51890,570417
14,01/09/2011,1162143,52329,566738
15,01/10/2011,1200708,54447,593757
16,01/11/2011,1134959,51772,554709
17,01/12/2011,1141606,47961,542479
18,01/01/2012,1137916,51607,547995
19,01/02/2012,1120423,51156,532653
20,01/03/2012,1263082,58574,611496
21,01/04/2012,1149634,51689,568200
22,01/05/2012,1251414,56417,621739
23,01/06/2012,1222084,53957,611800
24,01/07/2012,1248953,55392,620178
25,01/08/2012,1197384,52905,594854
26,01/09/2012,1178361,51526,558604
27,01/10/2012,1214433,53423,564448
28,01/11/2012,1167908,51805,535892
29,01/12/2012,1202080,47553,572792
30,01/01/2013,1149837,49518,533763
31,01/02/2013,1085333,48970,514445
32,01/03/2013,1226196,54219,584669
33,01/04/2013,1199089,54306,578025
34,01/05/2013,1229747,54729,607194
35,01/06/2013,1191352,54589,585094
36,01/07/2013,1281700,55536,639053
37,01/08/2013,1189671,53239,597681
38,01/09/2013,1156569,52312,559868
39,01/10/2013,1199259,52705,577465
40,01/11/2013,1139112,50631,543294
41,01/12/2013,1172011,47809,562209
42,01/01/2014,1142284,51060,546196
43,01/02/2014,1084744,47705,529366
44,01/03/2014,1269436,55798,632107
45,01/04/2014,1213066,52034,612576
46,01/05/2014,1287333,54446,636250
47,01/06/2014,1265211,54997,622060
48,01/07/2014,1302588,55793,635250
49,01/08/2014,1188147,53051,576112
50,01/09/2014,1221782,52195,579309
51,01/10/2014,1250114,54428,587832
52,01/11/2014,1205519,52329,572612
