,Period,Type1_ATT
0,2010-01-08,1138652
1,2010-01-09,1150728
2,2010-01-10,1163143
3,2010-01-11,1111295
4,2010-01-12,1159204
5,2011-01-01,1133881
6,2011-01-02,1053707
7,2011-01-03,1225222
8,2011-01-04,1197213
9,2011-01-05,1221687
10,2011-01-06,1168468
11,2011-01-07,1211066
12,2011-01-08,1135801
13,2011-01-09,1162143
14,2011-01-10,1200708
15,2011-01-11,1134959
16,2011-01-12,1141606
17,2012-01-01,1137916
18,2012-01-02,1120423
19,2012-01-03,1263082
20,2012-01-04,1149634
21,2012-01-05,1251414
22,2012-01-06,1222084
23,2012-01-07,1248953
24,2012-01-08,1197384
25,2012-01-09,1178361
26,2012-01-10,1214433
27,2012-01-11,1167908
28,2012-01-12,1202080
29,2013-01-01,1149837
30,2013-01-02,1085333
31,2013-01-03,1226196
32,2013-01-04,1199089
33,2013-01-05,1229747
34,2013-01-06,1191352
35,2013-01-07,1281700
36,2013-01-08,1189671
37,2013-01-09,1156569
38,2013-01-10,1199259
39,2013-01-11,1139112
40,2013-01-12,1172011
41,2014-01-01,1142284
42,2014-01-02,1084744
43,2014-01-03,1269436
44,2014-01-04,1213066
45,2014-01-05,1287333
46,2014-01-06,1265211
47,2014-01-07,1302588
48,2014-01-08,1188147
49,2014-01-09,1221782
50,2014-01-10,1250114
51,2014-01-11,1205519
52,2014-01-12,1241895
53,2015-01-01,1124040
54,2015-01-02,1072452
55,2015-01-03,1251325
56,2015-01-04,1206631
57,2015-01-05,1254445
58,2015-01-06,1249213
59,2015-01-07,1271523
60,2015-01-08,1215826
61,2015-01-09,1221594
62,2015-01-10,1261395
63,2015-01-11,1236294
64,2015-01-12,1232965
65,2016-01-01,1250005
66,2016-01-02,1218372
67,2016-01-03,1350373
68,2016-01-04,1214057
69,2016-01-05,1353206
70,2016-01-06,1282499
71,2016-01-07,1353477
72,2016-01-08,1254439
73,2016-01-09,1277578
74,2016-01-10,1317571
75,2016-01-11,1258205
76,2016-01-12,1277133
77,2017-01-01,1237177
78,2017-01-02,1127909
79,2017-01-03,1309507
80,2017-01-04,1253743
81,2017-01-05,1347297
82,2017-01-06,1296877
83,2017-01-07,1348648
84,2017-01-08,1256655
85,2017-01-09,1263957
86,2017-01-10,1325211
87,2017-01-11,1281913
88,2017-01-12,1289587
89,2018-01-01,1257026
90,2018-01-02,1151757
91,2018-01-03,1299796
92,2018-01-04,1246348
93,2018-01-05,1354711
94,2018-01-06,1306739
95,2018-01-07,1365859
96,2018-01-08,1252767
97,2018-01-09,1269088
98,2018-01-10,1320032
99,2018-01-11,1305353
100,2018-01-12,1307359
101,2019-01-01,1344354
102,2019-01-02,1234328
103,2019-01-03,1373061
104,2019-01-04,1330825
105,2019-01-05,1369332
106,2019-01-06,1334137
107,2019-01-07,1415918
108,2019-01-08,1324070
109,2019-01-09,1342510
110,2019-01-10,1376347
111,2019-01-11,1366383
112,2019-01-12,1373654
113,2020-01-01,1327234
114,2020-01-02,1237255
115,2020-01-03,1013021
116,2020-01-04,689720
117,2020-01-05,924218
118,2020-01-06,1016132
119,2020-01-07,1120421
120,2020-01-08,1179019
121,2020-01-09,1163948
122,2020-01-10,1111958
123,2020-01-11,1036350
124,2020-01-12,1039474
125,2021-01-01,941194
126,2021-01-02,903771
127,2021-01-03,1161079
128,2021-01-04,1259266
129,2021-01-05,1396116
130,2021-01-06,1436111
131,2021-01-07,1430733
132,2021-01-08,1341757
133,2021-01-09,1392405
134,2021-01-10,1419010
135,2021-01-11,1336830
136,2021-01-12,1250568
137,2022-01-01,1247417
138,2022-01-02,1205820
139,2022-01-03,1421526
140,2022-01-04,1312380
141,2022-01-05,1437421
142,2022-01-06,1400664
143,2022-01-07,1397083
144,2022-01-08,1299083
145,2022-01-09,1301611
146,2022-01-10,1399185
147,2022-01-11,1395183
148,2022-01-12,1437681
149,2023-01-01,1243898
150,2023-01-02,1206386
151,2023-01-03,1372403
152,2023-01-04,1271145
153,2023-01-05,1400815
154,2023-01-06,1389009
155,2023-01-07,1379854
156,2023-01-08,1323647
157,2023-01-09,1369045
158,2023-01-10,1413560
159,2023-01-11,1385701
160,2023-01-12,1383876
161,2024-01-01,1397645
