"Population"
"Million persons, Total"
"Category","Russia","Mexico","Japan","United States","EU 27","Canada","Australia","Argentina","United Kingdom","China","India"
"1970-01-01 00:00:00",130148650,50778729,104665171,205052174,385105412,21746497,12507349,23962314,55710700,822534453,557501299
"1971-01-01 00:00:00",130830724,52354238,106100000,207660677,387326644,21962032,13067265,24354307,55928013,843285426,569999176
"1972-01-01 00:00:00",131539634,53973953,107595000,209896021,389967731.5,22218463,13303664,24769829,56096677,862840407,582837973
"1973-01-01 00:00:00",132275730,55619995,109104000,211908788,392447521.5,22491777,13504538,25198050,56222893,881652080,596107482
"1974-01-01 00:00:00",133032258,57293865,110573000,213853928,394821520.5,22807969,13722571,25628164,56235642,899367638,609721951
"1975-01-01 00:00:00",133804859,58993234,111939643,215973199,397075672,23143275,13892995,26049353,56225718,915124661,623524221
"1976-01-01 00:00:00",134596225,60702805,113094000,218035164,399154805,23449808,14033083,26458241,56216121,929375923,637451448
"1977-01-01 00:00:00",135413335,62414539,114165000,220239425,401178203.5,23725843,14192234,26862054,56189910,942581332,651685626
"1978-01-01 00:00:00",136259824,64131336,115190000,222584545,403108450.5,23963203,14359255,27265831,56178025,955138944,666267763
"1979-01-01 00:00:00",137139387,65849531,116155000,225055487,404860871.5,24201544,14515729,27674632,56240053,968298971,681248383
"1980-01-01 00:00:00",138053143,67561216,117060396,227224681,406723576,24515667,14695356,28093507,56329673,982372466,696828384
"1981-01-01 00:00:00",138993850,69267849,117902000,229465714,408404241,24819915,14923260,28524120,56357464,997259503,712869299
"1982-01-01 00:00:00",139954626,70973052,118728000,231664458,409600780.5,25116942,15184247,28963109,56290711,1013483165,729169466
"1983-01-01 00:00:00",140935774,72671675,119536000,233791994,410643337,25366451,15393472,29407972,56315677,1029226906,745826543
"1984-01-01 00:00:00",141938482,74359027,120305000,235824902,411554755,25607053,15579391,29856213,56409327,1044172197,762895159
"1985-01-01 00:00:00",142957289,76030535,121048923,237923795,412493936,25842116,15788312,30305336,56553955,1060239981,780242084
"1986-01-01 00:00:00",143995348,77689757,121660000,240132887,413589441.5,26100278,16018350,30757601,56683835,1077770523,797878993
"1987-01-01 00:00:00",145032886,79339498,122239000,242288918,414765405.5,26446601,16263874,31214665,56803958,1096851843,815716126
"1988-01-01 00:00:00",146013482,80970606,122745000,244498982,416124847,26791747,16532164,31673154,56916448,1115889802,833729679
"1989-01-01 00:00:00",146863927,82579032,123205000,246819230,417477810,27276781,16814416,32129676,57076451,1134414725,852012674
"1990-01-01 00:00:00",147969413,84169571,123611167,249622814,418793689,27691138,17065128,32580854,57237493,1153704253,870452166
"1991-01-01 00:00:00",148394220,85748742,124101000,252980941,421369837,28037420,17284036,33028546,57438658,1170626171,888941757
"1992-01-01 00:00:00",148538190,87312337,124567000,256514224,422646655.5,28371264,17478635,33475005,57584530,1183813388,907574050
"1993-01-01 00:00:00",148458780,88850856,124938000,259918588,423940051.5,28684764,17634808,33917440,57713889,1195855556,926351296
"1994-01-01 00:00:00",148407906,90362709,125265000,263125821,424914845,29000663,17805468,34353066,57862145,1207286676,945261958
"1995-01-01 00:00:00",148375796,91843905,125570246,266278393,425685108,29302311,18004882,34779096,58024799,1218144424,964279130
"1996-01-01 00:00:00",148160121,93294783,125864000,269394284,426364400.5,29610218,18224767,35195575,58164374,1228298839,983281215
"1997-01-01 00:00:00",147915371,94720541,126166000,272646925,426941575,29905948,18423037,35604362,58314249,1237801448,1002335230
"1998-01-01 00:00:00",147670787,96116960,126486000,275854104,427424910,30155173,18607584,36005387,58474943,1246836105,1021434576
"1999-01-01 00:00:00",147214777,97482584,126686000,279040168,428042160,30401286,18812264,36398577,58684427,1255433238,1040500052
"2000-01-01 00:00:00",146596873,98785275,126925843,282162411,428966670.5,30685730,19028802,36783859,58886065,1264099070,1059633677
"2001-01-01 00:00:00",145976465,100105299,127291000,284968955,429346943,31020902,19274701,37156654,59113016,1272739581,1078970908
"2002-01-01 00:00:00",145306489,101493987,127435000,287625193,430374563,31360079,19495210,37537783,59365677,1280926119,1098313040
"2003-01-01 00:00:00",144565937,102890474,127619000,290107933,432009574.5,31644028,19720737,37927463,59636662,1288873367,1117415124
"2004-01-01 00:00:00",143821218,104272444,127687000,292805298,433611128,31940655,19932722,38325927,59950364,1296816710,1136264580
"2005-01-01 00:00:00",143113885,105669369,127767994,295516599,435280223,32243753,20176844,38733406,60413276,1304887560,1154638709
"2006-01-01 00:00:00",142487259,107155391,127900515,298379912,436689072,32571174,20450966,39127239,60827067,1313086568,1172373786
"2007-01-01 00:00:00",142114903,108744845,128032743,301231207,438279402,32889025,20827622,39529440,61319075,1321513225,1189691811
"2008-01-01 00:00:00",141956413,110405454,128083960,304093966,439807807,33247118,21249199,39940234,61823772,1330167153,1206734805
"2009-01-01 00:00:00",141909248,112095388,128031514,306771529,440920567,33628895,21691653,40359828,62260486,1339125594,1223640159
"2010-01-01 00:00:00",142389969,113748671,128057352,309327143,442067818.5,34004889,22031750,40788453,62759456,1348191369,1240613620
"2011-01-01 00:00:00",142960911,115367452,127834233,311583481,441268697,34339328,22340024,41261490,63285145,1357095477,1257621190
"2012-01-01 00:00:00",143201721,116935670,127592657,313877662,441946680.5,34714222,22733465,41733271,63705030,1366560818,1274487217
"2013-01-01 00:00:00",143506995,118453929,127413888,316059947,442402911.5,35082954,23128129,42202935,64105654,1376100306,1291132067
"2014-01-01 00:00:00",143819657,119936411,127237150,318386329,443196850,35437435,23475686,42669500,64596752,1385189667,1307246512
