date_fmt,Total_population
2024-01-01,48619695.0
2023-01-01,48085361.0
2022-01-01,47486727.0
2021-01-01,47400798.0
2020-01-01,47318050.0
2019-01-01,46918951.0
2018-01-01,46645070.0
2017-01-01,46497393.0
2016-01-01,46418884.0
2015-01-01,46425722.0
2014-01-01,46495744.0
2013-01-01,46712650.0
2012-01-01,46818216.0
2011-01-01,46667175.0
2010-01-01,46486621.0
2009-01-01,46239271.0
2008-01-01,45668938.0
2007-01-01,44784659.0
2006-01-01,44009969.0
2005-01-01,43296335.0
2004-01-01,42547454.0
2003-01-01,41827836.0
2002-01-01,41035271.0
2001-01-01,40665545.0
2000-01-01,40470182.0
1999-01-01,40303568.0
1998-01-01,40143449.0
1997-01-01,39971329.0
1996-01-01,39808374.0
1995-01-01,39639726.0
1994-01-01,39458489.0
1993-01-01,39264034.0
1992-01-01,39051336.0
1991-01-01,38881416.0
1990-01-01,38853227.0
1989-01-01,38802300.0
1988-01-01,38731578.0
1987-01-01,38638052.0
1986-01-01,38531195.0
1985-01-01,38407829.0
1984-01-01,38252899.0
1983-01-01,38090151.0
1982-01-01,37881873.0
1981-01-01,37635389.0
1980-01-01,37346940.0
1979-01-01,37035719.0
1978-01-01,36694077.0
1977-01-01,36329199.0
1976-01-01,35946425.0
1975-01-01,35569375.0
1974-01-01,35177294.0
1973-01-01,34800600.0
1972-01-01,34408338.0
